Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
19:25:45:287,-0.055,1.5437,10.8985,45.4348,0.1164,0.3347,-0.2475,190.2656
19:25:45:307,-0.4512,1.6107,10.4472,46.5473,0.0415,0.3789,-0.248,190.5312
19:25:45:324,-0.9719,1.4778,10.4233,47.2935,-0.1633,0.263,-0.2075,190.6406
19:25:45:344,-0.96,1.2492,10.5023,45.6708,-0.3941,0.0662,-0.1117,190.875
19:25:45:365,-0.4308,0.6004,11.363,45.7618,-0.7739,0.1125,0.0231,191.1719
19:25:45:389,-0.5721,0.2604,12.426,47.7669,-0.7449,0.3048,0.0577,191.2812
19:25:45:409,-0.6356,0.0712,12.517,44.7234,-0.4354,0.3136,0.0633,191.2812
19:25:45:425,-0.6631,0.1742,11.4408,47.4035,-0.0264,0.12,0.0814,191.2188
19:25:45:447,-0.5589,0.4579,9.6811,46.3891,0.1931,0.0076,0.1259,191.0781
19:25:45:465,-0.8594,0.6566,8.466,46.5754,0.1305,0.1032,0.2244,190.9531
19:25:45:487,-1.2102,0.6195,8.1093,46.7561,-0.1318,0.336,0.426,190.8438
19:25:45:535,-0.8463,0.2448,8.715,45.8011,-0.4272,0.4982,0.6545,190.7031
19:25:45:536,-0.268,-0.0629,9.2465,46.8077,-0.5209,0.3309,0.7286,190.4531
19:25:45:550,0.2563,0.0042,8.9341,47.0476,-0.379,-0.0893,0.6745,189.9219
19:25:45:563,0.5053,0.2568,7.7729,48.5331,-0.22,-0.4023,0.4862,189.125
19:25:45:583,0.1497,0.6039,7.3683,47.3532,-0.2104,-0.3618,0.4018,188.2344
19:25:45:606,-0.0873,0.8721,7.9381,48.4662,-0.1726,-0.1333,0.4191,187.4375
19:25:45:625,-0.0358,1.0469,8.0698,48.6404,0.0384,-0.0608,0.4476,186.9219
19:25:45:644,-0.0442,1.26,7.798,47.56,0.2195,0.0233,0.4657,186.5
19:25:45:664,-0.0741,1.4395,7.3898,46.9969,0.2799,0.042,0.5073,186.0312
19:25:45:684,0.0911,1.7137,7.1504,49.0448,0.2008,-0.0441,0.5227,185.5156
19:25:45:705,-0.0813,1.922,7.9465,49.2731,0.0248,0.0028,0.5371,185.0312
19:25:45:729,-0.0801,1.8872,9.1268,50.2988,-0.0437,0.0865,0.576,183.875
19:25:45:748,0.0253,1.7328,10.0833,49.472,0.0205,0.2169,0.5864,183.2812
19:25:45:771,0.3401,1.673,10.6854,49.1321,0.1902,0.2814,0.54,182.2656
19:25:45:788,0.6932,1.9124,10.4747,49.5219,0.4133,0.0833,0.3978,181.5781
19:25:45:807,0.8201,2.4391,9.9576,48.5303,0.4799,-0.035,0.2412,181.0469
19:25:45:828,0.8776,2.821,10.3407,47.7465,0.3883,0.0779,0.1459,180.7188
19:25:45:846,0.8788,2.7539,11.8562,49.1743,0.323,0.3253,0.0913,180.5156
19:25:45:872,0.9913,2.5349,13.1539,48.7961,0.4312,0.5173,0.0138,180.375
19:25:45:887,1.1469,2.4978,13.1156,50.4638,0.6248,0.4513,-0.1282,180.2812
19:25:45:905,1.1206,2.4295,12.2034,48.4635,0.6573,0.1919,-0.2754,180.2969
19:25:45:939,1.378,2.1434,11.5857,50.577,0.4698,-0.1383,-0.4065,180.5156
19:25:45:946,1.5061,1.8884,11.539,50.577,0.2591,-0.418,-0.5444,180.9219
19:25:45:964,1.2942,1.5137,11.8143,51.2181,0.143,-0.4236,-0.6509,181.5312
19:25:45:984,1.2918,1.0457,11.6527,50.5288,0.2061,-0.3162,-0.6824,182.3125
19:25:46:004,1.5121,0.8972,10.4676,50.3208,0.3659,-0.3309,-0.7253,183.0938
19:25:46:027,1.4462,1.0529,8.788,49.1196,0.3768,-0.3445,-0.7655,183.9688
19:25:46:047,1.1805,1.3102,7.6664,49.5353,0.13,-0.2214,-0.7356,184.9062
19:25:46:064,0.5544,1.3737,7.6759,50.386,-0.2735,0.1163,-0.6352,184.9062
19:25:46:083,-0.2968,0.8829,9.2717,50.1278,-0.5997,0.5855,-0.4488,185.8438
19:25:46:108,-0.4392,0.3346,10.9117,52.0672,-0.5936,0.8835,-0.2603,186.5938
19:25:46:125,-0.0406,0.07,11.1487,48.4391,-0.2775,0.679,-0.2408,187.1562
19:25:46:144,0.2755,0.3705,10.0043,49.8764,0.0431,0.2321,-0.3932,187.375
19:25:46:163,0.127,0.8673,8.3679,51.5865,0.1254,-0.1793,-0.5692,187.4688
19:25:46:184,-0.2225,1.2216,8.3834,48.6225,0.0589,-0.3066,-0.6339,187.75
19:25:46:205,-0.1579,1.4994,8.2852,49.7633,0.2139,-0.3836,-0.6225,188.3125
19:25:46:223,-0.2645,1.8872,7.3886,50.4252,0.429,-0.435,-0.6251,189.8125
19:25:46:243,-0.5733,2.384,7.0319,48.7497,0.4447,-0.2302,-0.5204,190.2031
19:25:46:263,-0.5865,2.6031,7.1337,50.2741,0.3827,-0.0363,-0.3362,191.0156
19:25:46:283,-0.3806,2.4966,7.4042,49.0566,0.3087,-0.0052,-0.1897,191.6562
19:25:46:305,-0.0011,2.3912,7.7561,49.2934,0.2144,-0.076,-0.1071,192.0781
19:25:46:324,0.3161,2.56,7.7083,50.4256,0.1052,-0.3021,-0.0975,192.3125
19:25:46:343,0.6322,2.7551,8.1105,50.9359,-0.0831,-0.4885,-0.1015,192.4688
19:25:46:364,0.9219,2.8282,8.8443,49.4279,-0.2461,-0.5218,-0.117,192.625
19:25:46:384,0.7543,2.7491,9.7792,48.8311,-0.3422,-0.3399,-0.1351,192.8125
19:25:46:406,0.5795,2.4463,10.9021,48.817,-0.3377,0.0295,-0.1063,193.0156
